Transaction_ID,Order_Date,Region,Category,Product,Customer_ID,Quantity,Unit_Price,Discount,Revenue,Cost,Profit
TXN-00090,2025-01-01,East,Furniture,Bookshelf,CUST-0035,3,247.58,0.15,631.33,481.52,149.81
TXN-00399,2025-01-02,South,Furniture,Bookshelf,CUST-0094,1,472.77,0.05,449.13,267.72,181.41
TXN-00100,2025-01-02,North,Office Supplies,Notebook,CUST-0137,4,34.14,0.15,116.08,83.41,32.67
TXN-00375,2025-01-03,West,Electronics,Laptop,CUST-0061,5,602.59,0.1,2711.66,1986.44,725.22
TXN-00388,2025-01-04,East,Furniture,Filing Cabinet,CUST-0046,6,145.07,0.1,783.38,580.33,203.05
TXN-00240,2025-01-04,South,Electronics,Tablet,CUST-0145,6,439.47,0.15,2241.3,1800.53,440.77
TXN-00134,2025-01-04,North,Office Supplies,Notebook,CUST-0084,1,57.95,0.05,55.05,41.76,13.29
TXN-00563,2025-01-05,East,Furniture,Filing Cabinet,CUST-0099,5,212.81,0.1,957.64,723.31,234.33
TXN-00057,2025-01-05,East,Accessories,Mouse,CUST-0059,6,113.03,0.1,610.36,400.46,209.9
TXN-00085,2025-01-05,East,Furniture,Office Chair,CUST-0136,6,126.47,0.15,645.0,442.22,202.78
TXN-00073,2025-01-06,West,Furniture,Filing Cabinet,CUST-0070,2,289.26,0.0,578.52,334.08,244.44
TXN-00688,2025-01-06,West,Office Supplies,Pen Set,CUST-0017,5,59.38,0.15,252.36,148.45,103.91
TXN-00305,2025-01-06,North,Accessories,USB Hub,CUST-0070,5,145.87,0.1,656.42,430.48,225.94
TXN-00133,2025-01-07,North,Office Supplies,Notebook,CUST-0029,6,26.18,0.05,149.23,93.1,56.13
TXN-00509,2025-01-07,East,Electronics,Tablet,CUST-0127,6,243.47,0.0,1460.82,878.07,582.75
TXN-00233,2025-01-08,North,Accessories,USB Hub,CUST-0046,3,156.38,0.0,469.14,359.82,109.32
TXN-00469,2025-01-08,North,Accessories,Webcam,CUST-0016,4,164.82,0.05,626.32,373.58,252.74
TXN-00382,2025-01-08,North,Accessories,Headset,CUST-0045,6,128.96,0.1,696.38,422.73,273.65
TXN-00522,2025-01-09,East,Office Supplies,Pen Set,CUST-0113,2,32.29,0.05,61.35,50.17,11.18
TXN-00137,2025-01-12,South,Office Supplies,Pen Set,CUST-0050,3,70.54,0.1,190.46,128.08,62.38
TXN-00601,2025-01-13,West,Furniture,Office Chair,CUST-0126,1,318.67,0.0,318.67,219.86,98.81
TXN-00292,2025-01-13,South,Electronics,Laptop,CUST-0100,4,792.25,0.15,2693.65,1952.58,741.07
TXN-00397,2025-01-13,North,Office Supplies,Printer Paper,CUST-0017,2,24.71,0.0,49.42,31.87,17.55
TXN-00381,2025-01-13,North,Furniture,Office Chair,CUST-0148,1,466.95,0.15,396.91,281.97,114.94
TXN-00514,2025-01-14,West,Office Supplies,Printer Paper,CUST-0022,2,50.87,0.0,101.74,67.24,34.5
TXN-00285,2025-01-14,South,Accessories,Headset,CUST-0012,4,34.79,0.1,125.24,95.1,30.14
TXN-00749,2025-01-15,North,Accessories,USB Hub,CUST-0148,2,117.16,0.0,234.32,147.15,87.17
TXN-00480,2025-01-15,East,Furniture,Desk,CUST-0113,1,300.46,0.15,255.39,198.54,56.85
TXN-00715,2025-01-15,North,Office Supplies,Printer Paper,CUST-0124,7,77.1,0.0,539.7,442.34,97.36
TXN-00443,2025-01-16,South,Office Supplies,Notebook,CUST-0140,7,48.05,0.05,319.53,220.91,98.62
TXN-00040,2025-01-16,West,Accessories,Webcam,CUST-0033,2,109.95,0.05,208.9,147.23,61.67
TXN-00234,2025-01-16,North,Office Supplies,Notebook,CUST-0128,7,31.26,0.05,207.88,138.33,69.55
TXN-00418,2025-01-17,South,Furniture,Office Chair,CUST-0143,1,230.5,0.05,218.98,142.96,76.02
TXN-00597,2025-01-17,West,Furniture,Bookshelf,CUST-0003,5,83.1,0.05,394.72,321.16,73.56
TXN-00104,2025-01-17,North,Electronics,Monitor,CUST-0098,2,698.55,0.1,1257.39,988.25,269.14
TXN-00110,2025-01-17,South,Electronics,Tablet,CUST-0118,1,313.3,0.0,313.3,236.52,76.78
TXN-00482,2025-01-18,South,Electronics,Tablet,CUST-0111,6,385.85,0.15,1967.84,1300.57,667.27
TXN-00445,2025-01-19,South,Office Supplies,Pen Set,CUST-0049,2,31.35,0.0,62.7,50.46,12.24
TXN-00307,2025-01-19,East,Office Supplies,Printer Paper,CUST-0107,6,67.72,0.0,406.32,327.01,79.31
TXN-00716,2025-01-19,East,Furniture,Filing Cabinet,CUST-0103,5,177.69,0.05,844.03,481.4,362.63
TXN-00577,2025-01-19,North,Accessories,Webcam,CUST-0041,1,71.6,0.05,68.02,45.8,22.22
TXN-00603,2025-01-20,North,Furniture,Desk,CUST-0070,1,205.14,0.1,184.63,106.84,77.79
TXN-00122,2025-01-20,South,Electronics,Laptop,CUST-0013,3,465.29,0.15,1186.49,801.01,385.48
TXN-00053,2025-01-20,North,Furniture,Bookshelf,CUST-0012,1,203.69,0.1,183.32,145.43,37.89
TXN-00157,2025-01-20,South,Electronics,Laptop,CUST-0020,7,341.78,0.1,2153.21,1208.43,944.78
TXN-00657,2025-01-20,East,Electronics,Monitor,CUST-0001,4,672.79,0.0,2691.16,2075.4,615.76
TXN-00702,2025-01-20,West,Electronics,Keyboard,CUST-0044,3,556.35,0.15,1418.69,798.58,620.11
TXN-00747,2025-01-20,West,Electronics,Monitor,CUST-0034,5,219.39,0.05,1042.1,708.84,333.26
TXN-00628,2025-01-21,West,Accessories,USB Hub,CUST-0073,7,86.11,0.15,512.35,360.57,151.78
TXN-00270,2025-01-21,West,Office Supplies,Stapler,CUST-0017,4,18.02,0.1,64.87,49.98,14.89
TXN-00196,2025-01-21,South,Electronics,Laptop,CUST-0010,1,253.55,0.15,215.52,133.36,82.16
TXN-00361,2025-01-22,South,Accessories,Webcam,CUST-0045,1,176.98,0.05,168.13,109.52,58.61
TXN-00135,2025-01-22,East,Office Supplies,Stapler,CUST-0006,1,60.65,0.0,60.65,43.81,16.84
TXN-00003,2025-01-22,North,Accessories,Mouse,CUST-0051,1,175.67,0.1,158.1,106.42,51.68
TXN-00329,2025-01-22,East,Electronics,Laptop,CUST-0072,7,405.26,0.1,2553.14,1412.61,1140.53
TXN-00277,2025-01-22,North,Furniture,Bookshelf,CUST-0035,3,136.46,0.05,388.91,248.91,140.0
TXN-00621,2025-01-24,West,Accessories,Mouse,CUST-0055,1,110.67,0.1,99.6,76.0,23.6
TXN-00523,2025-01-24,West,Office Supplies,Stapler,CUST-0126,3,24.12,0.0,72.36,56.91,15.45
TXN-00431,2025-01-25,South,Furniture,Desk,CUST-0010,1,223.03,0.1,200.73,143.05,57.68
TXN-00109,2025-01-25,East,Office Supplies,Stapler,CUST-0049,2,27.59,0.1,49.66,31.53,18.13
TXN-00188,2025-01-25,East,Accessories,Mouse,CUST-0060,4,169.51,0.15,576.33,385.37,190.96
TXN-00642,2025-01-26,East,Furniture,Bookshelf,CUST-0016,2,257.53,0.1,463.55,288.64,174.91
TXN-00161,2025-01-26,West,Office Supplies,Pen Set,CUST-0142,1,57.65,0.1,51.88,41.71,10.17
